Accession code,Uniprot URL
O00238,https://www.uniprot.org/uniprot/O00238
Q13873,https://www.uniprot.org/uniprot/Q13873
P15056,https://www.uniprot.org/uniprot/P15056
Q13418,https://www.uniprot.org/uniprot/Q13418
P51617,https://www.uniprot.org/uniprot/P51617
O43187,https://www.uniprot.org/uniprot/O43187
Q9Y616,https://www.uniprot.org/uniprot/Q9Y616
Q9NWZ3,https://www.uniprot.org/uniprot/Q9NWZ3
Q8IVT5,https://www.uniprot.org/uniprot/Q8IVT5
Q6VAB6,https://www.uniprot.org/uniprot/Q6VAB6
P53667,https://www.uniprot.org/uniprot/P53667
P53671,https://www.uniprot.org/uniprot/P53671
Q38SD2,https://www.uniprot.org/uniprot/Q38SD2
Q5S007,https://www.uniprot.org/uniprot/Q5S007
P04049,https://www.uniprot.org/uniprot/P04049
Q13546,https://www.uniprot.org/uniprot/Q13546
O43353,https://www.uniprot.org/uniprot/O43353
Q9Y572,https://www.uniprot.org/uniprot/Q9Y572
P57078,https://www.uniprot.org/uniprot/P57078
Q15569,https://www.uniprot.org/uniprot/Q15569
Q96S53,https://www.uniprot.org/uniprot/Q96S53
P36897,https://www.uniprot.org/uniprot/P36897
P37173,https://www.uniprot.org/uniprot/P37173
Q59H18,https://www.uniprot.org/uniprot/Q59H18
Q6ZMQ8,https://www.uniprot.org/uniprot/Q6ZMQ8
P00519,https://www.uniprot.org/uniprot/P00519
P42684,https://www.uniprot.org/uniprot/P42684
Q9UM73,https://www.uniprot.org/uniprot/Q9UM73
P30530,https://www.uniprot.org/uniprot/P30530
P51451,https://www.uniprot.org/uniprot/P51451
P51813,https://www.uniprot.org/uniprot/P51813
Q06187,https://www.uniprot.org/uniprot/Q06187
P07333,https://www.uniprot.org/uniprot/P07333
P41240,https://www.uniprot.org/uniprot/P41240
Q08345,https://www.uniprot.org/uniprot/Q08345
Q16832,https://www.uniprot.org/uniprot/Q16832
P00533,https://www.uniprot.org/uniprot/P00533
P21709,https://www.uniprot.org/uniprot/P21709
Q5JZY3,https://www.uniprot.org/uniprot/Q5JZY3
P29317,https://www.uniprot.org/uniprot/P29317
P29320,https://www.uniprot.org/uniprot/P29320
P54764,https://www.uniprot.org/uniprot/P54764
P54756,https://www.uniprot.org/uniprot/P54756
Q9UF33,https://www.uniprot.org/uniprot/Q9UF33
Q15375,https://www.uniprot.org/uniprot/Q15375
P29322,https://www.uniprot.org/uniprot/P29322
P54762,https://www.uniprot.org/uniprot/P54762
P29323,https://www.uniprot.org/uniprot/P29323
P54753,https://www.uniprot.org/uniprot/P54753
P54760,https://www.uniprot.org/uniprot/P54760
O15197,https://www.uniprot.org/uniprot/O15197
P04626,https://www.uniprot.org/uniprot/P04626
P21860,https://www.uniprot.org/uniprot/P21860
Q15303,https://www.uniprot.org/uniprot/Q15303
P16591,https://www.uniprot.org/uniprot/P16591
P07332,https://www.uniprot.org/uniprot/P07332
P11362,https://www.uniprot.org/uniprot/P11362
P21802,https://www.uniprot.org/uniprot/P21802
P22607,https://www.uniprot.org/uniprot/P22607
P22455,https://www.uniprot.org/uniprot/P22455
P09769,https://www.uniprot.org/uniprot/P09769
P17948,https://www.uniprot.org/uniprot/P17948
P36888,https://www.uniprot.org/uniprot/P36888
P35916,https://www.uniprot.org/uniprot/P35916
P42685,https://www.uniprot.org/uniprot/P42685
P06241,https://www.uniprot.org/uniprot/P06241
P08631,https://www.uniprot.org/uniprot/P08631
P08069,https://www.uniprot.org/uniprot/P08069
P06213,https://www.uniprot.org/uniprot/P06213
P14616,https://www.uniprot.org/uniprot/P14616
Q08881,https://www.uniprot.org/uniprot/Q08881
P23458,https://www.uniprot.org/uniprot/P23458
O60674,https://www.uniprot.org/uniprot/O60674
P52333,https://www.uniprot.org/uniprot/P52333
P35968,https://www.uniprot.org/uniprot/P35968
P10721,https://www.uniprot.org/uniprot/P10721
P06239,https://www.uniprot.org/uniprot/P06239
Q8IWU2,https://www.uniprot.org/uniprot/Q8IWU2
Q96Q04,https://www.uniprot.org/uniprot/Q96Q04
P29376,https://www.uniprot.org/uniprot/P29376
P07948,https://www.uniprot.org/uniprot/P07948
P42679,https://www.uniprot.org/uniprot/P42679
Q12866,https://www.uniprot.org/uniprot/Q12866
P08581,https://www.uniprot.org/uniprot/P08581
Q04912,https://www.uniprot.org/uniprot/Q04912
O15146,https://www.uniprot.org/uniprot/O15146
P04629,https://www.uniprot.org/uniprot/P04629
Q16620,https://www.uniprot.org/uniprot/Q16620
Q16288,https://www.uniprot.org/uniprot/Q16288
P16234,https://www.uniprot.org/uniprot/P16234
P09619,https://www.uniprot.org/uniprot/P09619
Q05397,https://www.uniprot.org/uniprot/Q05397
Q14289,https://www.uniprot.org/uniprot/Q14289
Q13882,https://www.uniprot.org/uniprot/Q13882
Q13308,https://www.uniprot.org/uniprot/Q13308
P07949,https://www.uniprot.org/uniprot/P07949
Q01973,https://www.uniprot.org/uniprot/Q01973
Q01974,https://www.uniprot.org/uniprot/Q01974
P08922,https://www.uniprot.org/uniprot/P08922
P34925,https://www.uniprot.org/uniprot/P34925
P12931,https://www.uniprot.org/uniprot/P12931
Q9H3Y6,https://www.uniprot.org/uniprot/Q9H3Y6
Q6J9G0,https://www.uniprot.org/uniprot/Q6J9G0
P43405,https://www.uniprot.org/uniprot/P43405
P42680,https://www.uniprot.org/uniprot/P42680
Q02763,https://www.uniprot.org/uniprot/Q02763
P35590,https://www.uniprot.org/uniprot/P35590
Q13470,https://www.uniprot.org/uniprot/Q13470
Q07912,https://www.uniprot.org/uniprot/Q07912
P42681,https://www.uniprot.org/uniprot/P42681
P29597,https://www.uniprot.org/uniprot/P29597
Q06418,https://www.uniprot.org/uniprot/Q06418
P07947,https://www.uniprot.org/uniprot/P07947
P43403,https://www.uniprot.org/uniprot/P43403
Q2M2I8,https://www.uniprot.org/uniprot/Q2M2I8
O14965,https://www.uniprot.org/uniprot/O14965
Q96GD4,https://www.uniprot.org/uniprot/Q96GD4
Q9UQB9,https://www.uniprot.org/uniprot/Q9UQB9
Q9NSY1,https://www.uniprot.org/uniprot/Q9NSY1
O43683,https://www.uniprot.org/uniprot/O43683
O60566,https://www.uniprot.org/uniprot/O60566
Q8N5S9,https://www.uniprot.org/uniprot/Q8N5S9
Q96RR4,https://www.uniprot.org/uniprot/Q96RR4
O00311,https://www.uniprot.org/uniprot/O00311
O15111,https://www.uniprot.org/uniprot/O15111
P68400,https://www.uniprot.org/uniprot/P68400
P19784,https://www.uniprot.org/uniprot/P19784
