Accession code,Uniprot URL
Q9P2M7,https://www.uniprot.org/uniprot/Q9P2M7
Q8IXJ6,https://www.uniprot.org/uniprot/Q8IXJ6
P14859,https://www.uniprot.org/uniprot/P14859
Q13363,https://www.uniprot.org/uniprot/Q13363
P15056,https://www.uniprot.org/uniprot/P15056
O14929,https://www.uniprot.org/uniprot/O14929
Q12778,https://www.uniprot.org/uniprot/Q12778
P43405,https://www.uniprot.org/uniprot/P43405
Q9NR19,https://www.uniprot.org/uniprot/Q9NR19
O00763,https://www.uniprot.org/uniprot/O00763
P14866,https://www.uniprot.org/uniprot/P14866
Q99623,https://www.uniprot.org/uniprot/Q99623
Q9UQM7-2,https://www.uniprot.org/uniprot/Q9UQM7-2
P09874,https://www.uniprot.org/uniprot/P09874
P28562,https://www.uniprot.org/uniprot/P28562
Q9BXM7,https://www.uniprot.org/uniprot/Q9BXM7
Q92819,https://www.uniprot.org/uniprot/Q92819
Q9UQB8,https://www.uniprot.org/uniprot/Q9UQB8
Q13177,https://www.uniprot.org/uniprot/Q13177
O14920,https://www.uniprot.org/uniprot/O14920
O60285,https://www.uniprot.org/uniprot/O60285
Q9Y2H1,https://www.uniprot.org/uniprot/Q9Y2H1
O15055,https://www.uniprot.org/uniprot/O15055
Q8TD43,https://www.uniprot.org/uniprot/Q8TD43
Q9Y6Q9,https://www.uniprot.org/uniprot/Q9Y6Q9
O14641,https://www.uniprot.org/uniprot/O14641
O75581,https://www.uniprot.org/uniprot/O75581
Q13114,https://www.uniprot.org/uniprot/Q13114
P25054,https://www.uniprot.org/uniprot/P25054
Q9BZL6,https://www.uniprot.org/uniprot/Q9BZL6
O60716,https://www.uniprot.org/uniprot/O60716
Q9NP62,https://www.uniprot.org/uniprot/Q9NP62
O43432,https://www.uniprot.org/uniprot/O43432
P24844,https://www.uniprot.org/uniprot/P24844
P39019,https://www.uniprot.org/uniprot/P39019
Q9UKV0,https://www.uniprot.org/uniprot/Q9UKV0
P11274,https://www.uniprot.org/uniprot/P11274
P62993,https://www.uniprot.org/uniprot/P62993
P43351,https://www.uniprot.org/uniprot/P43351
P46109,https://www.uniprot.org/uniprot/P46109
P61586,https://www.uniprot.org/uniprot/P61586
Q9Y6H1,https://www.uniprot.org/uniprot/Q9Y6H1
O60500,https://www.uniprot.org/uniprot/O60500
