ID,CNumber,Target,Screen Conc(0.001),% Activity Remaining,Standard Deviation,Screen Conc(0.01),% Activity Remaining.1,Standard Deviation.1,Screen Conc(0.1),% Activity Remaining.2,Standard Deviation.2,Screen Conc(0.1-1.0),% Activity Remaining.3,Standard Deviation.3,Screen Conc(1.0),% Activity Remaining.4,Standard Deviation.4,Screen Conc(1.0-5.0),% Activity Remaining.5,Standard Deviation.5,Screen Conc(5.0-10.0),% Activity Remaining.6,Standard Deviation.6,Screen Conc(10.0),% Activity Remaining.7,Standard Deviation.7,Screen Conc(10.0-25.0),% Activity Remaining.8,Standard Deviation.8,Screen Conc(25.0),% Activity Remaining.9,Standard Deviation.9,Screen Conc(25.0-50.0),% Activity Remaining.10,Standard Deviation.10,Screen Conc(50.0),% Activity Remaining.11,Standard Deviation.11,Screen Conc(100.0),% Activity Remaining.12,Standard Deviation.12,Screen Conc(>100.0),% Activity Remaining.13,Standard Deviation.13
102,177.0,Q9H422,,,,,,,0.1,90,2,,,,1.0,103,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,177.0,Q9Y4R8,,,,,,,0.1,96,17,,,,1.0,90,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,177.0,Q13177,,,,,,,0.1,104,5,,,,1.0,110,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,177.0,O96013,,,,,,,0.1,94,11,,,,1.0,81,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,177.0,Q9NQU5,,,,,,,0.1,96,9,,,,1.0,103,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,177.0,Q13177,,,,,,,0.1,100,5,,,,1.0,87,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,177.0,Q13188,,,,,,,0.1,120,14,,,,1.0,89,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,177.0,Q9P289,,,,,,,0.1,129,6,,,,1.0,72,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,177.0,Q8N4C8,,,,,,,0.1,121,3,,,,1.0,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,177.0,Q8N4C8,,,,,,,0.1,101,9,,,,1.0,83,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,177.0,Q13233,,,,,,,0.1,107,5,,,,1.0,92,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,177.0,P80192,,,,,,,0.1,109,4,,,,1.0,75,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,177.0,Q16584,,,,,,,0.1,114,16,,,,1.0,79,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,177.0,Q7L7X3,,,,,,,0.1,103,3,,,,1.0,66,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,177.0,O14649,,,,,,,0.1,91,1,,,,1.0,95,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,177.0,P27448,,,,,,,0.1,5,1,,,,1.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,2.0,p38 beta MAPK,,,,,,,,,,,,,1.0,77,1,,,,,,,10.0,24,2,,,,,,,,,,,,,,,,,,
119,2.0,Q9H2X6,,,,,,,,,,,,,1.0,99,2,,,,,,,10.0,84,1,,,,,,,,,,,,,,,,,,
120,2.0,p38 gamma MAPK,,,,,,,,,,,,,1.0,97,0,,,,,,,10.0,81,2,,,,,,,,,,,,,,,,,,
121,2.0,Q9H422,,,,,,,,,,,,,1.0,101,3,,,,,,,10.0,105,0,,,,,,,,,,,,,,,,,,
122,2.0,p38 delta MAPK,,,,,,,,,,,,,1.0,108,1,,,,,,,10.0,80,2,,,,,,,,,,,,,,,,,,
123,2.0,O96013,,,,,,,,,,,,,1.0,82,2,,,,,,,10.0,35,0,,,,,,,,,,,,,,,,,,
124,2.0,Q8TD08,,,,,,,,,,,,,1.0,81,1,,,,,,,10.0,58,4,,,,,,,,,,,,,,,,,,
125,2.0,Q9NQU5,,,,,,,,,,,,,1.0,73,9,,,,,,,10.0,25,3,,,,,,,,,,,,,,,,,,
126,2.0,Q8TDC3,,,,,,,,,,,,,1.0,89,2,,,,,,,10.0,53,4,,,,,,,,,,,,,,,,,,
127,2.0,Q13177,,,,,,,,,,,,,1.0,94,5,,,,,,,10.0,57,6,,,,,,,,,,,,,,,,,,
128,2.0,Q8IWQ3,,,,,,,,,,,,,1.0,95,1,,,,,,,10.0,71,1,,,,,,,,,,,,,,,,,,
129,2.0,Q14247,,,,,,,,,,,,,1.0,20,6,,,,,,,10.0,3,2,,,,,,,,,,,,,,,,,,
130,2.0,O15530,,,,,,,,,,,,,1.0,97,5,,,,,,,10.0,97,3,,,,,,,,,,,,,,,,,,
131,2.0,Q13501,,,,,,,,,,,,,1.0,30,0,,,,,,,10.0,6,1,,,,,,,,,,,,,,,,,,
132,2.0,PKB alpha ,,,,,,,,,,,,,1.0,102,9,,,,,,,10.0,50,0,,,,,,,,,,,,,,,,,,
133,2.0,P67870,,,,,,,,,,,,,1.0,31,1,,,,,,,10.0,5,1,,,,,,,,,,,,,,,,,,
134,2.0,PKB beta ,,,,,,,,,,,,,1.0,95,2,,,,,,,10.0,89,1,,,,,,,,,,,,,,,,,,
135,2.0,O00141,,,,,,,,,,,,,1.0,101,5,,,,,,,10.0,91,2,,,,,,,,,,,,,,,,,,
136,2.0,P23443,,,,,,,,,,,,,1.0,86,6,,,,,,,10.0,61,7,,,,,,,,,,,,,,,,,,
137,2.0,P23677,,,,,,,,,,,,,1.0,86,2,,,,,,,10.0,56,2,,,,,,,,,,,,,,,,,,
138,2.0,ROCK 2,,,,,,,,,,,,,1.0,86,1,,,,,,,10.0,30,0,,,,,,,,,,,,,,,,,,
139,2.0,Q16513,,,,,,,,,,,,,1.0,110,1,,,,,,,10.0,89,2,,,,,,,,,,,,,,,,,,
140,2.0,PKC alpha ,,,,,,,,,,,,,1.0,77,4,,,,,,,10.0,39,8,,,,,,,,,,,,,,,,,,
141,2.0,PKC zeta ,,,,,,,,,,,,,1.0,86,0,,,,,,,10.0,83,1,,,,,,,,,,,,,,,,,,
142,2.0,Q15139,,,,,,,,,,,,,1.0,35,2,,,,,,,10.0,8,3,,,,,,,,,,,,,,,,,,
143,2.0,P05556,,,,,,,,,,,,,1.0,81,6,,,,,,,10.0,46,6,,,,,,,,,,,,,,,,,,
144,2.0,Q9BUB5,,,,,,,,,,,,,1.0,109,1,,,,,,,10.0,95,1,,,,,,,,,,,,,,,,,,
145,2.0,Q9HBH9,,,,,,,,,,,,,1.0,105,0,,,,,,,10.0,85,7,,,,,,,,,,,,,,,,,,
146,2.0,MAPKAP-K2 ,,,,,,,,,,,,,1.0,116,0,,,,,,,10.0,97,3,,,,,,,,,,,,,,,,,,
147,2.0,Q16644,,,,,,,,,,,,,1.0,90,1,,,,,,,10.0,87,5,,,,,,,,,,,,,,,,,,
148,2.0,Q8IW41,,,,,,,,,,,,,1.0,88,7,,,,,,,10.0,76,0,,,,,,,,,,,,,,,,,,
149,2.0,CAMKK alpha ,,,,,,,,,,,,,1.0,94,5,,,,,,,10.0,76,8,,,,,,,,,,,,,,,,,,
150,2.0,Q02750,,,,,,,,,,,,,1.0,86,5,,,,,,,10.0,65,4,,,,,,,,,,,,,,,,,,
151,2.0,P27361,,,,,,,,,,,,,1.0,103,1,,,,,,,10.0,69,1,,,,,,,,,,,,,,,,,,
152,2.0,P28482,,,,,,,,,,,,,1.0,82,4,,,,,,,10.0,62,0,,,,,,,,,,,,,,,,,,
153,2.0,P45983,,,,,,,,,,,,,1.0,92,4,,,,,,,10.0,93,1,,,,,,,,,,,,,,,,,,
154,2.0,P45984,,,,,,,,,,,,,1.0,84,0,,,,,,,10.0,56,4,,,,,,,,,,,,,,,,,,
155,2.0,P53779,,,,,,,,,,,,,1.0,93,3,,,,,,,10.0,87,3,,,,,,,,,,,,,,,,,,
